data,StructOFlow,funcptr,homebrew,ret2text,exploited
bss,StructOFlow,funcptr,read,ret2text,exploited
bss,StructOFlow,funcptr,memcpy,ret2text,exploited
bss,StructOFlow,funcptr,bcopy,ret2text,exploited
bss,StructOFlow,funcptr,homebrew,ret2text,exploited
stack,NBoundUFlow,funcptr,read,ret2text,exploited
stack,NBoundUFlow,funcptr,memcpy,ret2text,exploited
stack,NBoundUFlow,funcptr,bcopy,ret2text,exploited
stack,NBoundUFlow,funcptr,homebrew,ret2text,exploited
heap,NBoundUFlow,funcptr,read,ret2text,exploited
heap,NBoundUFlow,funcptr,memcpy,ret2text,exploited
heap,NBoundUFlow,funcptr,bcopy,ret2text,exploited
heap,NBoundUFlow,funcptr,homebrew,ret2text,exploited
data,NBoundUFlow,funcptr,read,ret2text,exploited
data,NBoundUFlow,funcptr,memcpy,ret2text,exploited
data,NBoundUFlow,funcptr,bcopy,ret2text,exploited
data,NBoundUFlow,funcptr,homebrew,ret2text,exploited
bss,NBoundUFlow,funcptr,read,ret2text,exploited
bss,NBoundUFlow,funcptr,memcpy,ret2text,exploited
bss,NBoundUFlow,funcptr,bcopy,ret2text,exploited
bss,NBoundUFlow,funcptr,homebrew,ret2text,exploited
